@relation qqqq

@attribute first_person numeric
@attribute second_person numeric
@attribute third_person numeric
@attribute conjunct numeric
@attribute past_tense_verb numeric
@attribute furture_tense_verb numeric
@attribute commas numeric
@attribute colons_semicolons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avg_sentence_len numeric
@attribute avg_token_len numeric
@attribute count_sentences numeric
@attribute class {../qqqq.twt} 

@data
111,0,111,0,0,0,0,1,0,0,0,4,0,0,0,114,21,5,0,2,../qqqq.twt
140,0,144,0,0,0,0,1,0,0,0,5,0,1,0,141,29,7,0,2,../qqqq.twt
125,0,123,0,0,0,0,1,0,0,0,8,0,0,1,125,24,11,0,1,../qqqq.twt
53,0,53,0,0,0,0,1,0,0,0,2,0,0,0,53,8,2,0,2,../qqqq.twt
246,0,239,1,1,0,0,1,0,0,0,11,1,0,1,245,49,7,0,4,../qqqq.twt
153,0,153,0,0,0,0,2,0,0,0,9,0,0,0,153,28,15,0,1,../qqqq.twt
167,0,169,0,0,1,0,1,0,0,0,4,0,1,1,172,33,8,0,2,../qqqq.twt
99,0,95,0,1,0,0,1,0,0,0,4,0,0,0,100,19,9,0,1,../qqqq.twt
149,2,151,1,0,0,0,1,0,0,0,5,0,3,0,151,30,8,0,2,../qqqq.twt
235,1,231,0,1,1,0,1,0,0,2,6,0,1,0,236,46,8,0,3,../qqqq.twt
145,0,145,0,0,0,0,1,0,0,0,8,0,1,0,147,30,8,0,2,../qqqq.twt
115,0,119,0,0,1,0,1,0,0,0,6,0,0,0,119,22,4,0,3,../qqqq.twt
104,0,104,0,0,0,0,1,0,0,0,2,0,0,0,106,20,9,0,1,../qqqq.twt
124,0,124,0,0,1,0,1,0,0,0,4,0,1,0,122,27,13,0,1,../qqqq.twt
85,0,84,0,1,0,0,1,0,0,0,3,0,0,0,86,14,6,0,1,../qqqq.twt
108,0,110,0,0,0,0,1,0,0,0,5,2,0,0,110,19,5,0,2,../qqqq.twt
87,1,87,0,0,1,0,1,0,0,0,2,0,0,1,86,16,4,0,2,../qqqq.twt
97,0,101,0,0,0,0,1,0,0,0,5,0,0,0,100,20,9,0,1,../qqqq.twt
102,0,107,0,1,0,0,1,0,0,0,3,0,2,0,105,22,6,0,2,../qqqq.twt
104,0,106,0,0,0,0,1,0,0,0,3,0,1,0,106,21,12,0,1,../qqqq.twt
227,0,231,0,0,1,0,1,0,0,0,13,0,1,1,233,50,13,0,2,../qqqq.twt
51,0,53,0,0,0,0,0,0,0,0,1,0,0,0,53,9,2,0,2,../qqqq.twt
130,0,131,0,0,0,0,1,0,0,1,4,0,1,0,133,28,7,0,2,../qqqq.twt
78,0,81,0,0,0,0,1,0,0,0,4,0,0,0,81,15,7,0,1,../qqqq.twt
137,0,135,0,0,0,0,0,0,0,0,6,0,0,0,139,31,8,0,2,../qqqq.twt
4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,../qqqq.twt
18,0,18,0,0,0,0,1,0,0,0,1,0,0,0,18,3,1,0,1,../qqqq.twt
165,2,160,0,0,0,0,0,0,0,0,5,0,2,1,163,35,6,0,3,../qqqq.twt
183,0,172,1,1,0,0,3,0,0,0,8,0,0,1,183,39,18,0,1,../qqqq.twt
92,0,93,0,0,0,0,1,0,0,0,4,0,0,0,93,17,8,0,1,../qqqq.twt
64,0,62,0,0,0,0,1,0,0,0,2,0,0,0,64,12,3,0,2,../qqqq.twt
152,0,156,0,0,0,0,2,0,0,0,9,0,1,0,156,29,15,0,1,../qqqq.twt
145,1,150,0,0,1,0,1,0,0,1,5,1,0,0,148,30,7,0,2,../qqqq.twt
63,0,64,0,0,0,0,1,0,0,0,2,0,0,1,64,11,3,0,2,../qqqq.twt
99,0,99,0,0,0,0,1,0,0,0,5,0,2,0,101,19,9,0,1,../qqqq.twt
87,1,89,0,2,0,1,0,0,0,0,2,0,2,0,86,19,11,0,1,../qqqq.twt
50,0,50,0,0,0,0,1,0,0,0,2,0,0,0,50,11,5,0,1,../qqqq.twt
21,0,21,0,0,0,0,0,0,0,0,1,0,0,0,21,3,1,0,1,../qqqq.twt
9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,1,../qqqq.twt
138,0,138,0,0,0,0,1,0,0,3,3,0,0,1,141,27,4,0,4,../qqqq.twt
195,0,194,1,0,0,1,1,0,0,1,10,0,1,0,199,44,7,0,3,../qqqq.twt
61,0,59,0,0,0,0,1,0,0,1,3,0,0,0,61,12,3,0,2,../qqqq.twt
62,0,62,0,0,0,0,1,0,0,0,4,0,0,0,62,11,5,0,1,../qqqq.twt
133,0,135,0,0,0,0,1,0,0,0,6,0,0,1,133,21,5,0,2,../qqqq.twt
223,0,225,1,0,1,1,1,0,0,0,6,0,2,0,225,43,11,0,2,../qqqq.twt
201,0,198,0,0,0,0,2,0,0,0,8,0,2,0,203,38,10,0,2,../qqqq.twt
153,0,158,0,0,0,0,1,0,0,0,5,0,0,0,158,33,17,0,1,../qqqq.twt
126,0,129,0,0,0,0,1,0,0,0,4,1,0,0,131,25,7,0,2,../qqqq.twt
61,0,61,0,0,0,2,1,0,0,0,5,1,0,0,61,12,5,0,1,../qqqq.twt
64,0,64,0,0,0,0,1,1,0,0,4,1,0,0,63,11,3,0,2,../qqqq.twt
119,0,120,0,0,0,0,1,0,0,0,3,0,1,0,122,21,6,0,2,../qqqq.twt
108,0,108,0,0,0,1,2,0,0,0,7,0,0,0,108,21,9,0,1,../qqqq.twt
159,0,159,0,2,0,0,1,0,0,0,5,1,0,0,160,28,4,0,4,../qqqq.twt
112,0,111,0,0,0,0,1,0,0,0,5,0,1,0,112,22,11,0,1,../qqqq.twt
128,0,126,0,0,0,0,1,0,0,1,5,0,0,0,133,28,7,0,2,../qqqq.twt
67,0,67,0,0,0,0,1,0,0,0,3,0,0,0,67,13,6,0,1,../qqqq.twt
35,0,37,0,0,0,0,1,0,0,0,3,0,0,0,37,6,1,0,2,../qqqq.twt
118,0,110,1,0,0,1,0,0,0,1,5,0,2,0,119,25,14,0,1,../qqqq.twt
18,0,18,0,0,0,0,1,0,0,0,1,0,0,0,18,3,1,0,1,../qqqq.twt
117,1,118,0,1,0,0,2,0,0,0,7,2,0,0,116,24,11,0,1,../qqqq.twt
77,0,81,0,0,0,0,0,0,0,0,3,0,0,0,83,15,7,0,1,../qqqq.twt
268,2,263,1,1,0,0,1,1,0,0,7,0,4,0,267,64,17,0,2,../qqqq.twt
90,0,90,0,0,0,0,1,0,0,0,4,0,0,0,91,16,4,0,2,../qqqq.twt
111,0,113,0,0,0,0,2,0,0,1,5,0,1,0,113,19,4,0,2,../qqqq.twt
89,0,93,0,0,0,0,1,0,0,0,4,0,0,0,93,19,9,0,1,../qqqq.twt
154,1,150,0,0,0,0,1,0,0,0,5,0,1,0,154,30,4,0,4,../qqqq.twt
141,0,141,0,0,1,0,2,0,0,0,5,0,0,1,141,26,12,0,1,../qqqq.twt
103,0,109,0,0,1,0,1,0,0,0,3,0,1,0,109,20,5,0,2,../qqqq.twt
150,0,152,0,0,0,0,2,0,0,0,5,1,3,0,152,28,5,0,3,../qqqq.twt
103,0,105,0,0,0,0,0,0,0,0,5,0,0,0,103,18,5,0,2,../qqqq.twt
43,0,43,0,0,0,0,1,0,0,0,2,0,1,0,41,8,3,0,1,../qqqq.twt
129,0,127,0,0,0,0,1,0,0,0,6,0,1,0,127,25,12,0,1,../qqqq.twt
242,0,241,0,1,2,0,1,0,0,1,6,0,2,0,241,54,7,0,4,../qqqq.twt
66,0,68,0,0,0,0,1,0,0,0,3,1,0,0,68,12,5,0,1,../qqqq.twt
106,0,106,0,0,0,0,1,0,0,0,4,0,0,0,106,19,8,0,1,../qqqq.twt
86,0,81,0,0,0,0,1,0,0,0,5,1,0,0,86,16,7,0,1,../qqqq.twt
81,0,81,0,0,0,0,1,0,0,1,2,0,0,0,81,9,1,0,3,../qqqq.twt
119,0,120,0,0,0,0,0,0,0,0,7,0,1,1,120,25,7,0,2,../qqqq.twt
4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,../qqqq.twt
30,0,30,0,0,0,0,1,0,0,0,1,0,0,0,30,5,2,0,1,../qqqq.twt
81,0,82,0,0,0,0,2,0,0,1,3,0,1,0,80,17,4,0,2,../qqqq.twt
112,1,116,0,0,0,0,1,0,0,0,5,0,0,0,116,22,4,0,3,../qqqq.twt
130,0,127,0,0,0,0,2,0,0,0,6,0,1,0,129,26,12,0,1,../qqqq.twt
84,1,87,0,0,0,0,1,0,0,0,5,0,1,0,85,18,9,0,1,../qqqq.twt
171,0,170,0,0,0,0,1,0,0,0,8,0,0,0,173,33,16,0,1,../qqqq.twt
76,0,78,0,0,0,0,1,0,0,0,2,0,1,0,76,12,5,0,1,../qqqq.twt
99,0,103,0,0,1,0,1,0,0,0,3,0,0,0,103,19,9,0,1,../qqqq.twt
68,0,70,0,0,0,0,1,0,0,0,3,0,0,0,70,10,2,0,2,../qqqq.twt
65,0,65,0,0,0,0,1,0,0,0,3,0,0,0,65,10,2,0,2,../qqqq.twt
97,0,98,0,0,0,0,1,0,0,0,3,0,1,0,100,22,6,0,2,../qqqq.twt
124,0,126,0,0,0,0,2,0,0,0,8,1,0,0,124,24,6,0,2,../qqqq.twt
33,0,33,0,0,0,0,0,0,0,0,1,0,0,0,33,5,2,0,1,../qqqq.twt
74,0,76,0,0,0,0,1,0,0,0,4,2,0,0,76,13,3,0,2,../qqqq.twt
38,0,38,0,0,0,0,1,0,0,0,1,0,0,0,38,6,2,0,1,../qqqq.twt
196,3,196,0,1,0,0,1,0,0,0,10,0,0,0,195,38,4,0,5,../qqqq.twt
80,0,82,1,0,0,0,1,0,0,0,4,1,0,0,82,13,6,0,1,../qqqq.twt
131,0,132,0,0,0,1,1,0,0,0,6,0,1,0,133,31,15,0,1,../qqqq.twt
69,0,67,0,0,0,0,1,0,0,0,4,0,0,0,69,13,6,0,1,../qqqq.twt
152,0,149,0,1,0,0,1,0,0,0,9,0,1,0,152,28,14,0,1,../qqqq.twt
96,0,98,1,0,0,0,1,0,0,0,5,0,0,0,96,19,9,0,1,../qqqq.twt
111,0,106,0,0,0,0,1,0,0,0,4,0,0,0,111,21,3,0,4,../qqqq.twt
47,0,49,0,0,0,0,1,0,0,0,3,0,0,0,49,9,2,0,2,../qqqq.twt
43,0,43,0,0,0,0,1,0,0,0,3,0,0,0,43,8,3,0,1,../qqqq.twt
94,0,96,0,0,0,0,0,0,0,0,5,0,1,0,94,16,4,0,2,../qqqq.twt
79,0,77,0,0,0,0,1,0,0,0,2,0,0,0,80,15,4,0,2,../qqqq.twt
100,1,102,0,0,0,0,1,0,0,0,6,0,0,0,98,22,3,0,3,../qqqq.twt
223,0,218,0,0,0,1,2,0,0,1,12,0,1,1,223,41,7,0,3,../qqqq.twt
91,0,92,0,0,0,0,1,0,0,0,6,0,0,0,92,17,7,0,1,../qqqq.twt
119,1,120,0,0,1,0,1,0,0,0,6,1,0,0,120,24,12,0,1,../qqqq.twt
118,0,121,0,0,0,0,1,0,0,0,7,0,2,0,119,26,6,0,2,../qqqq.twt
158,0,161,1,0,0,0,0,0,0,1,8,0,0,0,161,38,21,0,1,../qqqq.twt
36,0,38,0,0,0,0,1,0,0,0,1,0,0,0,38,4,2,0,1,../qqqq.twt
134,2,132,0,0,0,0,1,0,0,0,8,0,0,0,132,30,5,0,3,../qqqq.twt
76,0,79,0,0,0,0,1,0,0,0,3,0,1,0,79,15,7,0,1,../qqqq.twt
194,0,190,0,0,0,0,1,0,0,0,6,0,1,0,194,38,18,0,1,../qqqq.twt
33,0,35,0,0,0,0,1,0,0,0,2,0,0,0,35,5,2,0,1,../qqqq.twt
127,0,124,1,0,0,0,2,0,0,1,3,0,0,0,127,27,6,0,2,../qqqq.twt
156,0,158,0,0,0,2,1,0,0,0,6,0,0,0,157,30,7,0,2,../qqqq.twt
55,0,55,0,0,0,0,1,0,0,0,3,0,0,0,54,10,4,0,1,../qqqq.twt
106,0,108,0,0,0,0,1,0,0,0,3,2,1,0,108,16,7,0,1,../qqqq.twt
179,1,182,0,0,0,0,1,0,0,0,4,0,1,0,182,36,19,0,1,../qqqq.twt
192,0,189,0,0,0,0,1,0,0,0,4,1,3,1,193,39,7,0,3,../qqqq.twt
136,2,136,0,0,0,0,1,0,0,0,5,0,0,0,133,29,14,0,1,../qqqq.twt
164,0,161,0,0,0,0,2,0,0,2,3,0,2,0,162,29,5,0,3,../qqqq.twt
164,0,165,1,0,0,0,1,0,0,0,4,0,3,0,164,31,9,0,2,../qqqq.twt
220,1,223,1,1,0,2,1,0,0,0,6,0,1,0,221,42,10,0,2,../qqqq.twt
63,0,63,0,0,0,0,1,0,0,0,2,0,1,0,63,12,5,0,1,../qqqq.twt
64,0,64,0,0,0,0,1,0,0,1,4,0,0,0,64,10,2,0,2,../qqqq.twt
78,0,78,0,0,0,0,1,0,0,1,3,0,0,0,78,14,3,0,2,../qqqq.twt
149,0,147,0,0,0,0,1,0,0,0,6,0,0,0,152,29,7,0,2,../qqqq.twt
91,0,88,0,1,0,0,1,0,0,1,3,0,1,0,91,17,4,0,2,../qqqq.twt
87,0,87,0,0,0,0,1,0,0,0,4,0,0,0,87,13,6,0,1,../qqqq.twt
122,0,118,0,0,0,0,1,0,0,0,6,0,0,1,124,25,13,0,1,../qqqq.twt
103,0,101,0,0,0,0,2,0,0,0,8,0,0,0,103,18,9,0,1,../qqqq.twt
103,0,103,0,0,0,0,1,0,0,0,4,0,2,0,103,19,9,0,1,../qqqq.twt
205,1,205,0,0,0,0,1,0,0,0,13,0,0,0,205,38,19,0,1,../qqqq.twt
85,0,84,0,0,0,0,1,0,0,0,6,2,0,0,87,17,8,0,1,../qqqq.twt
236,3,243,0,1,1,0,1,0,0,0,8,1,1,0,236,48,8,0,3,../qqqq.twt
83,0,83,0,0,0,0,1,0,0,0,4,0,0,0,82,17,8,0,1,../qqqq.twt
109,0,109,0,0,0,0,1,0,0,0,4,0,0,0,111,22,5,0,2,../qqqq.twt
118,1,120,0,0,0,1,1,0,0,0,4,0,0,1,119,21,4,0,3,../qqqq.twt
218,2,217,0,1,0,0,1,0,0,0,8,0,0,0,218,45,8,0,3,../qqqq.twt
132,0,133,0,0,0,0,1,0,0,0,5,0,0,0,135,26,5,0,3,../qqqq.twt
83,0,81,0,0,0,0,1,0,0,0,5,0,0,0,81,19,9,0,1,../qqqq.twt
105,0,110,0,0,0,0,1,0,0,0,5,0,0,1,110,20,5,0,2,../qqqq.twt
67,0,68,0,0,0,0,1,0,0,0,3,0,2,0,68,14,7,0,1,../qqqq.twt
102,0,102,0,0,0,0,1,0,0,0,7,0,1,0,104,23,5,0,2,../qqqq.twt
117,1,116,0,0,0,0,0,0,0,0,4,0,0,0,116,24,12,0,1,../qqqq.twt
70,0,72,0,0,0,0,1,0,0,0,4,0,0,0,71,14,6,0,1,../qqqq.twt
97,0,97,0,0,0,0,1,0,0,1,3,0,1,0,95,18,3,0,3,../qqqq.twt
182,0,180,0,1,0,0,1,0,0,0,6,0,1,1,182,35,9,0,2,../qqqq.twt
157,0,158,0,0,0,1,2,0,0,0,8,0,1,0,159,36,17,0,1,../qqqq.twt
113,0,115,0,0,0,0,2,0,0,0,7,0,0,0,115,19,8,0,1,../qqqq.twt
75,0,73,0,0,0,0,1,0,0,0,4,0,0,1,75,14,3,0,2,../qqqq.twt
130,0,132,1,0,0,0,1,0,0,0,4,1,1,0,132,24,6,0,2,../qqqq.twt
79,0,79,0,0,0,0,1,0,0,0,5,0,0,0,79,15,3,0,2,../qqqq.twt
73,0,75,0,0,0,0,1,0,0,0,3,0,1,0,75,16,7,0,1,../qqqq.twt
